,Epochs,Train Profit,Validate Profit
0,1,-3097.6493060000103,34.05004400000507
1,2,-3539.184790000001,22.200046000005386
2,3,-4138.427779000001,-53.299953999994614
3,4,-5185.627768000005,-56.799953999994614
4,5,-5006.764564999997,-51.3499569999949
5,6,-4936.543968999996,-49.3999519999943
6,7,-5242.801970999995,-49.3999519999943
7,8,-5316.576153999998,-79.4499469999937
8,9,-5551.087757999997,-89.04994499999339
9,10,-6233.987257000004,-113.59993999999278
10,11,-7014.309965000004,-448.2999529999943
11,12,-8134.6529830000045,-569.4499549999946
12,13,-8503.891874000008,-435.04996099999516
13,14,-8478.553778000009,-547.8499639999955
14,15,-9060.284271000011,-650.6499669999957
15,16,-9315.183777000015,-654.1499669999957
16,17,-9301.28138800001,-654.1499669999957
17,18,-9348.66042400001,-1018.6999629999955
18,19,-9309.459420000012,-1018.6999629999955
19,20,-8920.24422600001,-1255.6499599999934
20,21,-8998.61522100001,-1588.599956999993
21,22,-9341.581240000009,-1588.599956999993
22,23,-9280.156931000014,-1457.349956999995
23,24,-9360.52533900001,-1457.349956999995
24,25,-9289.212046000008,-1590.3499579999952
25,26,-9361.757051000008,-1710.5499619999937
26,27,-9358.075739000009,-1781.699963999994
27,28,-9367.66683500001,-1746.6499689999946
28,29,-9306.15983100001,-1978.4499729999952
29,30,-9342.161921000006,-1978.4499729999952
30,31,-9337.143626000005,-1873.3499749999955
31,32,-9343.465029000005,-1873.3499749999955
32,33,-9297.69702300001,-1706.049970999995
33,34,-9367.748536000008,-1594.2499679999964
34,35,-9325.601326000004,-1594.2499679999964
35,36,-9283.520119000012,-1594.2499679999964
36,37,-9337.391723000013,-1778.2499679999946
37,38,-9306.214706000012,-1700.2499679999946
38,39,-9381.252914000013,-1378.8999619999959
39,40,-9185.425703000014,-1378.8999619999959
40,41,-8460.815794000013,-1171.8999619999959
41,42,-7919.927594000013,-945.0999579999952
42,43,-8404.569502000013,-729.0999579999952
43,44,-8171.123783000014,-729.0999579999952
44,45,-7382.529766000003,-459.2999639999962
45,46,-7831.54296600001,-459.2999639999962
46,47,-7697.31477200001,-575.0999669999965
47,48,-7469.631576000008,-608.5499629999958
48,49,-7739.466492000016,-485.54996299999584
49,50,-8245.870493000015,-485.54996299999584
