,Epochs,Train Profit,Validate Profit
0,1,-219.8313769999695,-38.54999399999906
1,2,-195.95839399997567,-34.149992999999085
2,3,-250.1701939999839,-34.149992999999085
3,4,-285.05690399998093,-37.49999899999966
4,5,-245.7095999999765,-45.4500050000006
5,6,-301.6320449999748,-45.4500050000006
6,7,-328.3054219999758,-56.05000199999995
7,8,-386.638661999963,-62.3000090000005
8,9,-342.98153099996125,-107.70001100000081
9,10,-592.1013289999646,-104.5000140000011
10,11,-493.9385579999689,-116.00000600000021
11,12,-756.5725639999837,-111.90000800000053
12,13,-885.2190739999787,-120.0500090000005
13,14,-934.4905109999818,-135.5500009999996
14,15,-938.6013719999919,-135.5500009999996
15,16,-1092.8391679999895,-252.8999989999993
16,17,-1803.88362099999,-252.8999989999993
17,18,-2019.5288129999863,-252.8999989999993
18,19,-2109.815907999997,-264.599995999999
19,20,-2119.844099,-257.6999939999987
20,21,-2193.8752599999953,-253.1999939999987
21,22,-2311.915683999994,-253.1999939999987
22,23,-2268.765995000007,-253.1999939999987
23,24,-2143.7086010000057,-249.89999799999896
24,25,-1805.991890999987,-249.89999799999896
25,26,-1804.101868999982,-249.89999799999896
26,27,-1481.2572429999782,-249.89999799999896
27,28,-1987.8484489999846,-350.3000009999996
28,29,-1973.8598399999828,-350.3000009999996
29,30,-1813.2701529999904,-352.89999999999964
30,31,-1863.336930999978,-355.4500019999996
31,32,-2024.5389559999785,-356.5000049999999
32,33,-1675.8345849999732,-358.099995999999
33,34,-1923.8810309999826,-358.099995999999
34,35,-1919.1622229999666,-165.49999899999966
35,36,-1981.7709209999775,-165.49999899999966
36,37,-1764.8656199999714,-165.49999899999966
37,38,-1807.409731999971,-150.70000400000026
38,39,-1540.731635999964,-150.70000400000026
39,40,-981.6344529999697,-150.70000400000026
40,41,-1274.8159729999788,-150.70000400000026
41,42,-1221.4110809999765,-149.49999899999966
42,43,-1380.0497549999673,-133.39999999999964
43,44,-2093.49742399997,-119.50000600000021
44,45,-2505.4199319999625,-119.50000600000021
45,46,-2053.211718999968,-129.49999899999966
46,47,-1770.6954379999643,-145.5999899999988
47,48,-2333.98645199997,-145.5999899999988
48,49,-2332.7624319999686,-146.49998399999822
49,50,-2576.036806999984,-102.84997399999702
