,Epochs,Train Profit,Validate Profit
0,1,1802.4596640000073,-489.1999609999948
1,2,1840.1240950000047,-475.1999609999948
2,3,1903.8528030000052,-394.4499609999948
3,4,1776.621530999997,-394.4499609999948
4,5,1831.327728000002,-394.4499609999948
5,6,1977.8062319999972,-394.4499609999948
6,7,1899.2509299999892,-315.6499579999945
7,8,2378.1641339999933,-322.1499659999954
8,9,3042.2433299999866,-404.14996699999574
9,10,3273.4033659999986,-487.04996099999516
10,11,3876.3147219999973,-487.04996099999516
11,12,3653.510693000002,-487.04996099999516
12,13,3667.388243000003,-549.5499599999948
13,14,3575.7809330000055,-537.0499449999934
14,15,3512.3000720000036,-537.0499449999934
15,16,3652.1172190000034,-537.0499449999934
16,17,3121.228502999995,-543.1499439999934
17,18,3615.6256829999984,-543.1499439999934
18,19,3855.0046199999942,-532.7999449999934
19,20,4040.7587049999893,-371.3499479999937
20,21,3969.509971999996,-371.3499479999937
21,22,4801.55464299999,-371.3499479999937
22,23,5271.165308999998,-374.6499429999931
23,24,5780.919016999989,-374.6499429999931
24,25,6065.148200999985,-383.44994599999336
25,26,5498.311498999981,-463.6499499999936
26,27,5598.592397999986,-378.949944999993
27,28,5392.149369999985,-378.949944999993
28,29,4955.616787999976,-379.2999529999943
29,30,4946.8948069999715,-379.2999529999943
30,31,4776.373010999965,-386.4499469999937
31,32,5025.712559999962,-375.29995199999394
32,33,5235.459237999967,-375.29995199999394
33,34,5013.151535999956,-372.7999449999934
34,35,5123.232680999965,-378.2499419999931
35,36,5025.016984999957,-378.2499419999931
36,37,4451.958285999957,-378.2499419999931
37,38,3829.4122819999593,-280.2499419999931
38,39,4176.934590999952,-285.04993799999284
39,40,4351.930462999964,-282.29993799999284
40,41,4714.7963049999635,-295.04993799999284
41,42,3233.044897999971,-295.04993799999284
42,43,2715.754535999966,-295.04993799999284
43,44,488.9875559999782,-295.04993799999284
44,45,771.1635499999829,-294.74993499999255
45,46,-1261.315773000004,-320.0499399999935
46,47,-1226.0662660000125,-314.4999359999929
47,48,-2159.258381000008,-314.4999359999929
48,49,-2087.8766810000134,-234.89993699999286
49,50,-2445.355190000014,-251.79993899999317
