,Epochs,Train Profit,Validate Profit
0,1,-9349.460377999982,-4289.850076000008
1,2,-9329.333457999997,-4290.700075000008
2,3,-9271.122286999987,-4357.850077000008
3,4,-9321.891491999988,-4364.1500800000085
4,5,-9333.685760999993,-4184.250078000008
5,6,-9268.33323699999,-4316.450075000008
6,7,-9357.010834999994,-4235.050082000009
7,8,-9363.467040999993,-4356.1500800000085
8,9,-9361.573417999974,-4212.250078000008
9,10,-9336.531155999983,-4471.250078000008
10,11,-9311.00670699998,-4257.8000810000085
11,12,-9319.904505999988,-4257.8000810000085
12,13,-9453.857840999983,-4257.8000810000085
13,14,-9372.39458399999,-4116.000077000008
14,15,-9294.202131999995,-4229.850075000008
15,16,-9301.208256999986,-4006.400078000008
16,17,-9361.184642999984,-3892.5000760000075
17,18,-9335.228531999983,-3892.5000760000075
18,19,-9338.587404999977,-3892.5000760000075
19,20,-9324.143442999979,-3892.5000760000075
20,21,-9343.731650999976,-3779.7500760000075
21,22,-9332.26187499998,-3881.350074000007
22,23,-9339.424613999972,-3847.450080000008
23,24,-9334.745717999975,-3745.350082000008
24,25,-9368.749131999988,-3641.800079000008
25,26,-9345.45919999999,-3755.5000760000075
26,27,-9276.85599399999,-3755.5000760000075
27,28,-9349.183910999993,-3662.8000640000064
28,29,-9367.035928999994,-3662.8000640000064
29,30,-9341.733205999994,-3570.500061000006
30,31,-9451.944087999991,-3466.5500640000064
31,32,-9462.251003999987,-3461.500061000006
32,33,-9469.052618999987,-3354.500061000006
33,34,-9433.349497999987,-3354.500061000006
34,35,-9454.432944999993,-3355.000052000005
35,36,-9395.865643999996,-3431.750052000005
36,37,-9459.022416999993,-3460.000052000005
37,38,-9373.104010999998,-3460.000052000005
38,39,-9477.090595999991,-3460.000052000005
39,40,-9477.964816999995,-3568.150054000005
40,41,-9474.653288,-3568.150054000005
41,42,-9563.472407999994,-3592.250053000005
42,43,-9549.688103,-3577.450050000005
43,44,-9523.587050999997,-3577.450050000005
44,45,-9524.456136,-3577.450050000005
45,46,-9550.522303999998,-3817.1500470000046
46,47,-9548.342830999993,-3952.250053000005
47,48,-9527.823932999996,-3961.250053000005
48,49,-9475.522038000001,-3876.600051000005
49,50,-9475.578336999997,-3994.7000490000046
50,51,-9497.075808999994,-4015.500044000004
51,52,-9477.548410999992,-4111.800047000004
52,53,-9521.566407999995,-4111.800047000004
53,54,-9540.226002999996,-3949.7000410000037
54,55,-9534.947702999996,-3949.7000410000037
55,56,-9477.144174999985,-3711.100035000003
56,57,-9558.491193999984,-3419.6500390000037
57,58,-9513.76249199998,-3419.6500390000037
58,59,-9435.965388999983,-3197.6500390000037
59,60,-9435.886990999981,-3118.8500360000035
60,61,-9444.394490999985,-3118.8500360000035
61,62,-9444.673265999976,-3045.3500360000035
62,63,-9315.74581299998,-3045.3500360000035
63,64,-9293.958041999975,-3045.3500360000035
64,65,-9288.794946999973,-3045.3500360000035
65,66,-9289.76792999997,-3261.550032000003
66,67,-9324.285216999971,-3261.550032000003
67,68,-9321.60377699998,-3593.550024000002
68,69,-9375.242406999982,-3934.550024000002
69,70,-9325.472799999983,-3934.550024000002
70,71,-9340.065511999976,-3823.050024000002
71,72,-9378.784427999975,-3937.9500260000023
72,73,-9347.074747999975,-4066.7500290000025
73,74,-9351.05886699997,-4324.550024000002
74,75,-9333.993892999973,-4366.6000280000035
75,76,-9370.070766999972,-4605.200034000004
76,77,-9412.045856999963,-4605.200034000004
77,78,-9422.808160999968,-4605.200034000004
78,79,-9434.546215999972,-4716.600036000004
79,80,-9392.088017999968,-4716.600036000004
80,81,-9437.672220999968,-4716.600036000004
81,82,-9438.13019999997,-4732.000037000004
82,83,-9450.930301999968,-4507.700033000004
83,84,-9456.403391999962,-4507.700033000004
84,85,-9451.095904999971,-4507.700033000004
85,86,-9432.981205999975,-4429.450033000004
86,87,-9530.206094999976,-4429.450033000004
87,88,-9581.473919999975,-4429.450033000004
88,89,-9529.987219999968,-4545.100035000004
89,90,-9530.020625999974,-4322.200041000005
90,91,-9539.996534999973,-4322.200041000005
91,92,-9578.156831999982,-4366.900038000004
92,93,-9581.855355999975,-4082.850043000005
93,94,-9544.228620999977,-3531.950034000004
94,95,-9581.005680999979,-3531.950034000004
95,96,-9537.769092999972,-3455.0000370000043
96,97,-9565.548991999969,-3216.400031000003
97,98,-9581.52828499996,-3216.400031000003
98,99,-9510.967017999974,-3216.400031000003
99,100,-9488.619989999976,-2992.0000370000034
