Epochs,1 year,2 years,3 years,4 years
1,-5859.049968,-5566.800004,34.050044,22.449996
2,-5588.049968,-5117.500008,22.200046,17.849976
3,-5369.049968,-5117.500008,-53.299954,13.499978
4,-5369.049968,-5117.500008,-56.799954,13.499978
5,-5365.44997,-4769.900001,-51.349957,12.699975
6,-5372.499973,-4543.5,-49.399952,18.849969
7,-5256.599971,-4317.150001,-49.399952,8.949968
8,-5044.099971,-4077.750007,-79.449947,8.949968
9,-5044.099971,-3845.950003,-89.049945,13.09997
10,-4927.399974,-3236.650015,-113.59994,13.09997
11,-5041.399974,-2778.95001,-448.299953,13.09997
12,-4805.249972,-2414.95001,-569.449955,13.09997
13,-4475.649966,-2185.550016,-435.049961,13.09997
14,-4144.449969,-1953.550016,-547.849964,13.09997
15,-4144.449969,-1742.000013,-650.649967,10.799975
16,-4067.399966,-1287.800017,-654.149967,8.499972
17,-4067.399966,-716.750013,-654.149967,8.499972
18,-3627.649966,-716.750013,-1018.699963,7.09997
19,-3627.649966,-638.100011,-1018.699963,4.999971
20,-3382.549967,-637.550016,-1255.64996,16.24998
21,-3026.44996,-517.35002,-1588.599957,20.549984
22,-3026.44996,-539.450019,-1588.599957,26.299984
23,-3026.44996,-431.450019,-1457.349957,14.749981
24,-2789.549966,-355.800017,-1457.349957,5.099978
25,-2789.549966,-339.750013,-1590.349958,1.649964
26,-2451.94996,-336.050024,-1710.549962,1.649964
27,-2359.249963,-31.250021,-1781.699964,1.649964
28,-2090.449975,-34.950018,-1746.649969,-18.450049
29,-1902.249979,-4.050015,-1978.449973,-20.20004
30,-1902.249979,-2.050015,-1978.449973,-48.150045
31,-1696.249979,-2.050015,-1873.349975,-94.950041
32,-1696.249979,-2.050015,-1873.349975,-94.950041
33,-1696.249979,6.249988,-1706.049971,-93.100043
34,-1696.249979,13.699984,-1594.249968,-93.100043
35,-1566.749979,13.699984,-1594.249968,-93.100043
36,-1456.749979,16.899988,-1594.249968,-113.900032
37,-1456.749979,10.699984,-1778.249968,-86.900024
38,-1456.749979,10.699984,-1700.249968,-52.950026
39,-1456.749979,10.699984,-1378.899962,-45.200018
40,-1456.749979,20.849978,-1378.899962,-60.900015
41,-1533.249979,20.849978,-1171.899962,-60.900015
42,-1533.249979,20.849978,-945.099958,-60.900015
43,-1530.049983,-10.050016,-729.099958,-50.550009
44,-1422.049983,-10.050016,-729.099958,-106.850004
45,-1142.049983,-10.300016,-459.299964,-106.850004
46,-1145.74998,-10.300016,-459.299964,-106.850004
47,-890.449984,-16.350011,-575.099967,-104.450003
48,-887.349986,-2.800015,-608.549963,-90.200003
49,-887.349986,-4.650013,-485.549963,-179.300011
50,-887.349986,-4.650013,-485.549963,-210.550011
