Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Oct-16,242.35,244.25,242,242.1,242.3406514,1400787,4603,339467634,1054881,75.31,2.25,-0.25
04-Oct-16,243,244.05,240.85,241.45,242.6261152,854469,4962,207316494,418346,48.96,3.2,-1.55
05-Oct-16,242,243.1,239.3,240.3,240.9379047,632351,5112,152357325,250473,39.61,3.8,-1.7
06-Oct-16,242,242,236.2,238,238.4603675,584003,5595,139261570,189250,32.41,5.8,-4
07-Oct-16,238,240.3,237.05,239.15,238.9218801,549284,5414,131235966,164090,29.87,3.25,1.15
10-Oct-16,241,242.75,239.65,240.15,240.6634296,383064,3442,92189496,159598,41.66,3.1,-0.85
13-Oct-16,240.15,241.2,237.5,239.15,239.2210795,1319611,4728,315678768,861358,65.27,3.7,-1
14-Oct-16,239.95,240.75,238.5,239.8,239.6429835,3217832,2320,771130861,1308063,40.65,2.25,-0.15
17-Oct-16,240.25,241.75,238.55,240.45,239.994395,4027095,3606,966480228,3766053,93.52,3.2,0.2
18-Oct-16,241.9,246.5,240.55,245.8,243.7943482,2609673,6193,636223528,2225241,85.27,5.95,3.9
19-Oct-16,245.8,245.9,238.5,239.8,241.2861342,1547854,6714,373475708,1111286,71.8,7.4,-6
20-Oct-16,240,241.4,238.25,239.3,239.5549348,1439061,4020,344734164,1171240,81.39,3.15,-0.7
21-Oct-16,240.45,240.9,238.75,239.85,240.0507274,251304,3327,60325708,111797,44.49,2.15,-0.6
24-Oct-16,242,242,239.75,241.2,241.0369931,495687,3385,119478904,229463,46.29,2.25,-0.8
25-Oct-16,241.95,242.35,237.85,238.75,240.5450792,924084,3505,222283859,437523,47.35,4.5,-3.2
26-Oct-16,239.95,242.45,233.6,238.9,238.278497,2206598,18641,525784855,415321,18.82,8.85,-1.05
27-Oct-16,240.1,244.55,239.8,243.3,243.0744954,2698369,7036,655904683,2217713,82.19,4.75,3.2
28-Oct-16,244.95,244.95,239.75,242.55,241.9259041,691604,4402,167316923,433940,62.74,5.2,-2.4
30-Oct-16,243.3,244,241.15,241.9,242.4175489,93328,1233,22624345,39894,42.75,2.85,-1.4
01-Nov-16,242,242.65,238.7,239.85,241.6590022,816234,3169,197250294,611488,74.92,3.95,-2.15
02-Nov-16,237.25,238.95,235.5,237.3,237.4544576,646364,4347,153482013,184629,28.56,3.45,0.05
03-Nov-16,237.8,242.05,236.15,240.35,239.627337,1212240,6234,290485843,727808,60.04,5.9,2.55
04-Nov-16,251,256,247.4,249.1,250.6803461,6620479,17530,1659623967,4884326,73.78,8.6,-1.9
07-Nov-16,253,259.6,247.25,256.7,256.6229328,2475811,10031,635349880,1682726,67.97,12.35,3.7
08-Nov-16,256,258,252.2,255.75,254.5101225,645045,6064,164170482,315240,48.87,5.8,-0.25
09-Nov-16,240,254.6,239.85,248.65,247.1676019,2889860,21784,714279766,1363907,47.2,14.75,8.65
10-Nov-16,252,252.6,245.85,250.8,249.7324424,566491,6804,141471181,198279,35,6.75,-1.2
11-Nov-16,246.05,248.65,241,243,245.8272341,373789,4275,91887516,107172,28.67,7.65,-3.05
15-Nov-16,242.9,246.9,235.55,237.7,240.7725864,906252,6386,218200638,371222,40.96,11.35,-5.2
16-Nov-16,239,241.9,227.6,230.7,232.5589469,1175983,9055,273485368,349885,29.75,14.3,-8.3
17-Nov-16,229,234.05,225,232.35,231.5833577,530803,4585,122925141,143338,27,9.05,3.35
18-Nov-16,231.1,231.2,227.1,227.9,229.0613327,394031,3022,90257266,149798,38.02,4.1,-3.2
21-Nov-16,229,230.8,224.1,224.35,225.4598721,343365,4150,77415029,100436,29.25,6.7,-4.65
22-Nov-16,224.75,227.9,223.45,226.2,225.7619046,323257,4240,72979116,116912,36.17,4.45,1.45
23-Nov-16,226.5,227.35,223.75,224.55,224.8956722,491077,2947,110441092,226543,46.13,3.6,-1.95
24-Nov-16,224.5,225,222.25,223.6,223.2409783,517806,4697,115595518,177578,34.29,2.75,-0.9
25-Nov-16,224,230.25,223.1,228.75,227.3891063,1114238,3859,253365583,577400,51.82,7.15,4.75
28-Nov-16,230,234.2,227.8,233.5,230.9447636,575563,2818,132923261,337662,58.67,6.4,3.5
29-Nov-16,235,235.6,230.25,231.2,232.7265081,408981,2713,95180720,123315,30.15,5.35,-3.8
30-Nov-16,232,234.4,229.8,232.9,232.0176622,503787,3296,116887482,121671,24.15,4.6,0.9
01-Dec-16,232.9,234.95,231.2,233.35,233.4497542,779946,2458,182078202,473066,60.65,3.75,0.45
02-Dec-16,232.9,232.9,228,228.4,229.2002373,610321,6243,139885718,257770,42.24,4.9,-4.5
05-Dec-16,229.75,233,227.7,232.45,230.4536028,587428,3669,135374899,226094,38.49,5.3,2.7
06-Dec-16,232.3,232.75,229.4,230.25,229.9822902,594700,2447,136770468,114777,19.3,3.35,-2.05
07-Dec-16,231,232.1,226.95,227.55,229.1920736,636376,3625,145852335,324367,50.97,5.15,-3.45
08-Dec-16,229.9,235.2,228.4,233,232.6743287,494778,4057,115122139,180079,36.4,6.8,3.1
09-Dec-16,234,239.4,232.65,235.8,237.1517415,692032,7209,164116594,280654,40.56,6.75,1.8
12-Dec-16,236,236,232.3,232.55,233.2351182,205603,3123,47953840,49692,24.17,3.7,-3.45
