Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Oct-16,820.25,859.2,819.5,855.45,848.8447797,145825,4335,123782790,52082,35.72,39.7,35.2
04-Oct-16,855,876,848.55,872.2,864.8073698,131890,3825,114059444,16826,12.76,27.45,17.2
05-Oct-16,873,879.8,861.1,865.1,870.541408,38821,2053,33795288,5873,15.13,18.7,-7.9
06-Oct-16,864,866.65,842.7,849.95,855.1896611,64494,2559,55154602,21312,33.04,23.95,-14.05
07-Oct-16,857.8,866.7,851.15,854.95,857.9836088,44109,2181,37844799,5502,12.47,15.55,-2.85
10-Oct-16,854,859.2,842,845.6,846.9559018,88371,1844,74846340,70978,80.32,17.2,-8.4
13-Oct-16,831.05,832.4,812.75,824.75,822.3367595,41543,1763,34162336,9364,22.54,19.65,-6.3
14-Oct-16,816,842.25,816,837.55,835.9270438,59474,3349,49715925,21981,36.96,26.25,21.55
17-Oct-16,837.7,851.6,831.9,837.8,839.6764446,635137,2329,533309578,597436,94.06,19.7,0.1
18-Oct-16,838,866,838,862.85,856.2724196,76540,4473,65539091,31237,40.81,28,24.85
19-Oct-16,864,884.95,862,881.75,873.0622398,79515,2918,69421544,23034,28.97,22.95,17.75
20-Oct-16,888,895,866.95,873.65,881.4290795,49767,2785,43866081,12500,25.12,28.05,-14.35
21-Oct-16,874,880.25,858.3,876.75,870.1837406,155012,8292,134888922,27799,17.93,21.95,2.75
24-Oct-16,880,885,866,872,874.8923058,41395,2211,36216167,6080,14.69,19,-8
25-Oct-16,871,876.05,861.65,867.5,866.7556157,21413,1327,18559838,6777,31.65,14.4,-3.5
26-Oct-16,860.5,867,850,853.95,856.2916948,62154,2866,53221954,32609,52.46,17,-6.55
27-Oct-16,854,854,838,847,843.8627894,45186,2052,38130784,8533,18.88,16,-7
