Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Oct-16,257.1,262,252.75,260.2,257.0255498,986624,4843,253587576,723848,73.37,9.25,3.1
04-Oct-16,262.95,275,262,273.75,270.0109207,886758,11030,239434344,291805,32.91,13,10.8
05-Oct-16,274,275.25,265.7,266.75,269.0206601,574489,5807,154549410,196379,34.18,9.55,-7.25
06-Oct-16,268,273.25,266.65,268.7,270.3318309,615217,5462,166312738,111926,18.19,6.6,0.7
07-Oct-16,270.5,273.75,266.9,267.7,271.8555336,887473,4470,241264446,661422,74.53,6.85,-2.8
10-Oct-16,267.7,269.95,263.7,267.5,266.1638449,342574,3551,91180813,152334,44.47,6.25,-0.2
13-Oct-16,268,274.95,265.6,272.05,272.1450041,1044936,6773,284374112,655250,62.71,9.35,4.05
14-Oct-16,274,278.5,272,276.55,276.4969159,637625,6706,176301346,123577,19.38,6.5,2.55
17-Oct-16,278,280,275.7,278.45,278.1397946,253615,4093,70540424,86413,34.07,4.3,0.45
18-Oct-16,279,281,275.05,276.35,277.2140348,266438,5216,73860353,84231,31.61,5.95,-2.65
19-Oct-16,276.5,280.3,276.5,278.65,278.6800237,323449,4495,90138775,80165,24.78,3.8,2.15
20-Oct-16,280.1,283.25,278.65,281.5,280.372377,296369,4679,83093681,79307,26.76,4.6,1.4
21-Oct-16,280.8,281.35,276.15,280,278.1077296,231357,3320,64342170,44242,19.12,5.2,-0.8
24-Oct-16,279.75,294,278.6,292.9,286.3508198,1909385,16076,546753960,1063415,55.69,15.4,13.15
25-Oct-16,293.95,293.95,288,289.1,290.6285089,508887,6618,147897070,187964,36.94,5.95,-4.85
26-Oct-16,288.9,292.5,286.5,290.15,290.0145291,357696,4156,103737037,114122,31.9,6,1.25
27-Oct-16,291,296.8,284.2,290.55,290.7485611,1540219,18424,447816458,411392,26.71,12.6,-0.45
28-Oct-16,294.7,294.7,287,287.9,290.7323609,1132626,8695,329291031,574022,50.68,7.7,-6.8
30-Oct-16,290,290.65,288.15,289.95,289.7219289,173096,2767,50149707,99633,57.56,2.5,-0.05
01-Nov-16,289.5,290,282.1,289.2,286.3618877,384705,5647,110164850,97507,25.35,7.9,-0.3
02-Nov-16,289,289,276,277.35,279.7814872,1635314,11800,457530583,1110043,67.88,13,-11.65
03-Nov-16,275,275,266.5,267.55,270.1012328,616994,12032,166650840,202736,32.86,8.5,-7.45
04-Nov-16,269,271.85,265.05,269.65,269.5922822,698672,6893,188356579,404133,57.84,6.8,0.65
07-Nov-16,280,280,266.6,267.35,270.2463085,447244,6319,120866040,92595,20.7,13.4,-12.65
08-Nov-16,270.9,272.2,265.8,270.8,268.7666869,342004,3966,91919282,104715,30.62,6.4,-0.1
09-Nov-16,257.4,271.2,250.9,269.9,262.4549897,622513,9271,163381643,133370,21.42,20.3,12.5
10-Nov-16,271.2,279.3,271.2,275.9,276.5461348,377513,4145,104399761,120907,32.03,8.1,4.7
11-Nov-16,271.2,278.8,270.4,273.35,274.5457027,254252,4991,69803794,61112,24.04,8.4,2.15
15-Nov-16,268.15,285.4,268.15,275.8,276.550684,399100,6561,110371378,89928,22.53,17.25,7.65
16-Nov-16,277,284.25,271,272.35,277.7584947,410492,6105,114017640,67511,16.45,13.25,-4.65
17-Nov-16,276,277.6,270.3,273,274.4989584,327388,3512,89867665,34305,10.48,7.3,-3
18-Nov-16,275,277.5,273.65,275.3,276.3027477,565428,5755,156229310,208894,36.94,3.85,0.3
21-Nov-16,276,278,272.55,275.7,275.5130708,234340,5014,64563733,72738,31.04,5.45,-0.3
22-Nov-16,280.55,283.5,275.35,277.95,278.7162459,340136,5512,94801429,91379,26.87,8.15,-2.6
23-Nov-16,279.15,281.4,276,279.4,278.9381004,834077,4538,232655854,616461,73.91,5.4,0.25
24-Nov-16,279.4,280.8,276,277.85,278.6056979,126994,2292,35381252,32975,25.97,4.8,-1.55
25-Nov-16,278,279.75,275.6,278.25,277.2011224,340703,3580,94443254,41885,12.29,4.15,0.25
28-Nov-16,276,285.4,274.95,284,281.0950067,449926,4948,126471952,228294,50.74,10.45,8
29-Nov-16,283.75,287.7,281.5,284.7,284.437961,783282,5250,222795135,437102,55.8,6.2,0.95
30-Nov-16,281.95,290.9,281.95,289,287.638795,320253,4141,92117187,94443,29.49,8.95,7.05
01-Dec-16,294.6,298.65,291.05,292.2,295.5566047,596894,7206,176415964,116801,19.57,7.6,-2.4
02-Dec-16,292.5,295.55,290.7,291.25,293.6567905,480587,4186,141127636,203020,42.24,4.85,-1.25
05-Dec-16,290,296.4,289.25,295.3,294.8565112,425392,5108,125429601,198729,46.72,7.15,5.3
06-Dec-16,295.5,299.7,295.5,298.5,298.3759634,227461,5013,67868895,82873,36.43,4.2,3
07-Dec-16,299.85,300.3,296.05,297.3,298.8933905,652034,3015,194888653,512249,78.56,4.25,-2.55
08-Dec-16,298.1,303.85,298.1,302.05,301.9160414,562539,5195,169839548,317408,56.42,5.75,3.95
09-Dec-16,304.4,307.8,304,306.9,305.4214761,1331805,4324,406761849,1148426,86.23,3.8,2.5
12-Dec-16,309.2,314.45,309.2,311.3,312.5031479,2107619,5865,658637572,1856251,88.07,5.25,2.1
13-Dec-16,315,315,308.7,311.85,311.4713333,676464,3977,210699144,515051,76.14,6.3,-3.15
14-Dec-16,313,313,304.25,305.55,307.4828177,3681609,4972,1132031509,3460419,93.99,8.75,-7.45
15-Dec-16,202,208.55,201.45,206.45,204.3573192,806822,8085,164879981,399834,49.56,7.1,4.45
16-Dec-16,207.9,208,201.15,201.7,202.632298,327896,3729,66442320,112369,34.27,6.85,-6.2
19-Dec-16,203.5,203.6,200.5,201.45,201.1754282,1490006,4584,299752595,1284960,86.24,3.1,-2.05
20-Dec-16,201.5,201.5,197.5,199.9,199.2738976,335965,2542,66949055,149492,44.5,4,-1.6
21-Dec-16,199.9,202.35,199.8,201.45,201.5777393,594223,2158,119782129,415722,69.96,2.55,1.55
22-Dec-16,203,203,194.5,195.35,196.5670355,277286,3442,54505287,92054,33.2,8.5,-7.65
