Date,Open Price,High Price,Low Price,Close Price
03-Oct-16,252.6,257,252.6,255.2
04-Oct-16,256.4,261.5,253.85,259.25
05-Oct-16,262.05,264.6,259.65,260.55
06-Oct-16,261.7,261.9,255.8,256.85
07-Oct-16,257,259.45,255.05,258.25
10-Oct-16,259,260.2,255.35,256
13-Oct-16,255.4,255.4,246.1,249.7
14-Oct-16,251.25,253.3,249.7,251.9
17-Oct-16,254,256.3,251.9,253.1
18-Oct-16,254.85,257.45,253.75,256.9
19-Oct-16,257.3,257.95,254.3,254.8
20-Oct-16,255.05,260.4,255.05,259.95
21-Oct-16,260,260,255.75,258.4
24-Oct-16,259.9,264.75,258,262.85
25-Oct-16,264,264.65,260.75,261.3
26-Oct-16,261.3,264.75,257,259.05
27-Oct-16,259,259,254.4,255.05
28-Oct-16,256.65,258.55,253.7,257.85
30-Oct-16,259.3,260,257,257.85
01-Nov-16,257.5,260.1,256.85,258.4
02-Nov-16,254.4,255.5,247,251.3
03-Nov-16,250.9,252.8,245,245.65
04-Nov-16,246.2,248.5,240.55,242.85
07-Nov-16,248,254,245.75,252.7
08-Nov-16,254,254,248.9,252.6
09-Nov-16,239.5,261,231,259.75
10-Nov-16,267,283.9,265.3,281.6
11-Nov-16,278.95,288.5,270.7,272.9
15-Nov-16,275.95,283.35,271,278.1
16-Nov-16,283.4,285,276.1,277.15
17-Nov-16,277.25,282.4,276,277.65
18-Nov-16,278.4,279.95,274.75,275.7
21-Nov-16,276.3,277.8,256.25,257.75
22-Nov-16,261.5,262.4,251.45,257.4
23-Nov-16,260.8,260.8,254.9,258.75
24-Nov-16,258.4,262.9,254.65,261.7
25-Nov-16,263.8,264.65,258.6,260.95
28-Nov-16,253.7,257.7,248.2,253.6
29-Nov-16,254.6,256.5,252.1,252.95
30-Nov-16,254.4,259.9,252.75,258.4
01-Dec-16,259.9,260.95,254.75,255.75
02-Dec-16,253.3,261.25,253,254.4
05-Dec-16,254.5,257.3,253.3,256.7
06-Dec-16,258.8,260,256.45,259.15
07-Dec-16,260.05,262.5,252,255.35
08-Dec-16,258.75,260.5,258.05,259.75
09-Dec-16,260.95,266.5,258.7,266
12-Dec-16,269.45,269.45,262.4,263.4
13-Dec-16,264.85,266.25,261.8,265.5
14-Dec-16,265.5,266.2,262.2,262.7
15-Dec-16,259.35,267.5,259.25,265
16-Dec-16,265.7,268.25,263.25,264.75
19-Dec-16,263.05,264.4,260.85,261.4
20-Dec-16,261.25,262.95,253.25,254.55
21-Dec-16,256.55,257.95,254.15,255.15
22-Dec-16,254,254.25,248.45,249.75
23-Dec-16,249.95,251.7,248.05,249.25
26-Dec-16,248.75,248.75,243.7,244.1
27-Dec-16,243.6,249.9,243.1,248.7
28-Dec-16,249.65,252.35,246.7,247.25
29-Dec-16,248,248.9,245.75,247.55
30-Dec-16,247.55,252.45,247.5,249.75
02-Jan-17,252.75,253.5,242.8,243.6
03-Jan-17,243.6,246.3,241.1,244.85
04-Jan-17,245.2,246.45,242.5,242.9
05-Jan-17,244.95,246,244.05,245.45
06-Jan-17,246,248.95,245.3,245.95
09-Jan-17,246.55,248.2,246.1,247
10-Jan-17,247.5,248.9,246.4,247.85
11-Jan-17,248.1,253.15,248.1,251.9
12-Jan-17,252.35,254.3,250.55,251.1
13-Jan-17,252.05,252.95,248.85,250.9
16-Jan-17,251.05,256.4,250.75,255.75
17-Jan-17,256.6,258.55,254.65,256.15
18-Jan-17,256.5,259,256.5,257.6
19-Jan-17,257,261.8,256.65,258.3
20-Jan-17,258.8,260.55,250.4,251
23-Jan-17,251,254.95,250.2,254.1
24-Jan-17,255.1,256.95,254.25,254.7
25-Jan-17,255.1,261,254.25,259.3
27-Jan-17,260,268.25,259.5,266.5
30-Jan-17,266,267.7,262.6,263
31-Jan-17,262.65,263.9,259.45,260
01-Feb-17,261.6,271.65,261,270.3
02-Feb-17,271.1,274.7,268.6,272.7
03-Feb-17,273,278.05,272,277.4
06-Feb-17,279.1,282.45,276,277.05
07-Feb-17,278,279.6,276.2,277.5
08-Feb-17,277.8,279.2,273,277.3
09-Feb-17,278.3,280.2,271.05,275.85
10-Feb-17,278.05,282.45,275,276.25
13-Feb-17,277.95,278.35,270.2,271.4
14-Feb-17,273.4,273.4,268.1,270.5
15-Feb-17,270.55,272.4,267.1,268.65
16-Feb-17,276.5,277,269.8,270.4
17-Feb-17,270.9,273.7,267.75,268.8
20-Feb-17,269.35,271.5,268.1,269.25
21-Feb-17,269.45,271.25,268.7,270.65
22-Feb-17,271.25,274.5,269.55,271.8
23-Feb-17,271.9,273,269.8,270.5
27-Feb-17,271,271.5,267.6,268.15
28-Feb-17,268.3,271,268.2,269.2
01-Mar-17,270,273.1,270,271.95
02-Mar-17,273.5,274.6,265.9,267
03-Mar-17,266,268.6,264.5,265.15
06-Mar-17,265.55,270.45,265.55,269.9
07-Mar-17,270.3,271,266.45,268.05
08-Mar-17,268.5,270.25,266.05,269.7
09-Mar-17,269.85,273.8,268.5,273.2
10-Mar-17,274.8,275.65,269.7,272.05
