Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Oct-16,746.1,760.85,746.1,757.75,755.8934341,347860,7391,262945090,67709,19.46,14.75,11.65
04-Oct-16,763,772,760,764.3,763.6134935,1265117,7327,966060412,956573,75.61,12,1.3
05-Oct-16,766,769,757.5,759.6,764.3185012,249930,4402,191026123,48347,19.34,11.5,-6.4
06-Oct-16,764.5,766.5,750.05,752.85,759.0739702,158023,3656,119951146,71345,45.15,16.45,-11.65
07-Oct-16,753,756,749.05,751.2,751.8117671,149570,4320,112448486,56268,37.62,6.95,-1.8
10-Oct-16,751.2,758,750,754.35,754.5037792,110076,4144,83052758,32664,29.67,8,3.15
13-Oct-16,755,755,735.5,740.35,740.7656326,381239,5984,282408749,275685,72.31,19.5,-14.65
14-Oct-16,744.95,747.25,738.05,745.65,744.8012492,94138,2676,70114100,49195,52.26,9.2,0.7
17-Oct-16,744,748.15,732,734.05,737.8536922,131900,4149,97322902,65369,49.56,16.15,-9.95
18-Oct-16,739.3,745.8,735.95,743.95,740.7645919,176536,6752,130771618,86642,49.08,9.85,4.65
19-Oct-16,747,759,747,750.4,754.270491,165536,5282,124858920,52423,31.67,12,3.4
20-Oct-16,754.95,755.5,743.4,746.7,749.1967772,162839,4620,121998454,46469,28.54,12.1,-8.25
21-Oct-16,749,749.05,741,746.75,746.2679408,141173,4184,105352884,57085,40.44,8.05,-2.25
24-Oct-16,752,754.95,745.05,747.15,749.3016426,96495,2609,72303862,37743,39.11,9.9,-4.85
25-Oct-16,748.05,758.5,746.3,747.75,751.6938999,103195,4099,77571052,40561,39.31,12.2,-0.3
26-Oct-16,747.1,752,736.5,739.55,742.095172,130385,5492,96758079,57284,43.93,15.5,-7.55
27-Oct-16,744.9,751,737.55,745.2,746.0058107,150239,4750,112079167,54425,36.23,13.45,0.3
28-Oct-16,748,753,741.8,743.75,747.3527693,126998,3454,94912307,53159,41.86,11.2,-4.25
30-Oct-16,750.95,751,745.35,748.25,749.0193479,54993,1896,41190821,30564,55.58,5.65,-2.7
01-Nov-16,748.25,750,732,733.85,738.7221004,190666,5244,140849188,88866,46.61,18,-14.4
02-Nov-16,731.05,732,713.6,714.7,720.6077157,434282,13940,312946960,262775,60.51,18.4,-16.35
03-Nov-16,718,718,702,705,708.8886329,318631,10033,225873894,121005,37.98,16,-13
04-Nov-16,680,680,649.3,652.75,662.7734785,2036663,44095,1349846221,654730,32.15,30.7,-27.25
07-Nov-16,678,678,654.95,657.25,661.6159286,882513,14318,583884658,361620,40.98,23.05,-20.75
08-Nov-16,658.15,663,632.9,635.25,640.7142384,1054652,19902,675730553,520158,49.32,30.1,-22.9
09-Nov-16,600,668.8,572.4,661.1,631.1037219,1355528,36753,855478766,293509,21.65,96.4,61.1
10-Nov-16,681,693.7,664.3,666.95,677.6366367,855356,16656,579620563,295432,34.54,29.4,-14.05
11-Nov-16,691,708,680.2,688.95,696.9779407,1300224,26473,906227446,314558,24.19,27.8,-2.05
15-Nov-16,696,705,675.1,682.5,687.5736294,582892,11325,400781168,168009,28.82,29.9,-13.5
16-Nov-16,690,694.95,661.1,667.95,677.2047057,380429,7818,257628309,94231,24.77,33.85,-22.05
17-Nov-16,670,681.25,660.1,670.7,671.2866175,393849,8371,264385563,102155,25.94,21.15,0.7
18-Nov-16,671,691.6,662.25,688.25,683.383226,414142,10139,283017696,99907,24.12,29.35,17.25
21-Nov-16,693,696.75,676.7,690.75,686.480997,379755,9360,260694591,126373,33.28,20.05,-2.25
22-Nov-16,697,698.95,685.5,689.75,691.0175853,282906,5137,195493021,64094,22.66,13.45,-7.25
23-Nov-16,696,704.95,690.25,701.05,699.2317726,291799,6229,204035132,77190,26.45,14.7,5.05
24-Nov-16,702,702,681,683.6,691.1660084,628631,5635,434488379,459011,73.02,21,-18.4
25-Nov-16,693.6,715,685.45,712.15,703.2378911,451753,10937,317689827,128285,28.4,29.55,18.55
28-Nov-16,714,719.9,710.25,713.8,714.4572006,765093,4187,546626203,625677,81.78,9.65,-0.2
29-Nov-16,719.95,721.95,703.4,706.3,709.2538577,373276,7205,264747443,142101,38.07,18.55,-13.65
30-Nov-16,709.8,718.75,707,710.3,713.4553809,192496,5108,137337307,44268,23,11.75,0.5
01-Dec-16,710.5,724.8,707.1,721.8,711.5882924,1871236,6476,1331549630,1646022,87.96,17.7,11.3
02-Dec-16,721,730.75,715.25,719.45,723.4646695,265408,6307,192013311,80800,30.44,15.5,-1.55
05-Dec-16,722,725.2,710.65,713.05,715.307953,1738181,4807,1243334693,1564219,89.99,14.55,-8.95
06-Dec-16,719,721.95,703.8,706,709.827173,209649,5053,148814557,89515,42.7,18.15,-13
07-Dec-16,699,700,661,663.95,671.6947133,1799728,29472,1208867783,1012227,56.24,39,-35.05
08-Dec-16,669,679.7,660,675.55,670.2578411,619331,13220,415111459,115678,18.68,19.7,6.55
09-Dec-16,679.95,682.15,671,673,676.1953807,335028,7188,226544386,81884,24.44,11.15,-6.95
12-Dec-16,674.9,681.85,671.55,676.3,676.3881418,1402343,3851,948528176,1279434,91.24,10.3,1.4
13-Dec-16,676.3,684.75,666.6,683,678.5946696,413855,7438,280839797,121570,29.38,18.15,6.7
14-Dec-16,684.95,693,675.25,679.05,683.946735,276185,6121,188895829,85980,31.13,17.75,-5.9
15-Dec-16,674,674.1,645.1,649.45,660.918367,2032645,17959,1343412414,1504846,74.03,29,-24.55
16-Dec-16,650.05,651.95,633.7,647.1,641.352476,1119225,15730,717817725,468221,41.83,18.25,-2.95
19-Dec-16,647,647,630.55,632.2,637.217211,366754,8857,233701961,153974,41.98,16.45,-14.8
20-Dec-16,633,638,622.55,628.55,629.1526991,399557,9219,251382365,107028,26.79,15.45,-4.45
21-Dec-16,633.9,633.9,613,614.4,621.2986329,625266,12651,388476911,322752,51.62,20.9,-19.5
22-Dec-16,614.5,624.9,608.1,609.2,614.7969998,584832,14144,359552959,168763,28.86,16.8,-5.3
23-Dec-16,613.3,629.5,611.4,623.8,622.2549461,888027,12542,552579193,446630,50.29,18.1,10.5
26-Dec-16,630.1,630.1,610,611.75,615.4053928,342088,6806,210522800,103977,30.39,20.1,-18.35
27-Dec-16,615,621.75,612.75,620.4,617.9286146,272969,5667,168675356,68529,25.11,9,5.4
28-Dec-16,625,628.2,619.3,621.6,624.6214735,289026,5535,180531846,85495,29.58,8.9,-3.4
29-Dec-16,621,624.95,611.95,613.85,616.6945891,802938,5417,495167520,603506,75.16,13,-7.15
30-Dec-16,617,631.9,616.5,629.75,625.5493207,324519,7345,203002640,104712,32.27,15.4,12.75
