,Epochs,ITC Profit
0,1,-8207.250000000002
1,2,-651.8000000000011
2,3,-415.0500000000011
3,4,-160.4999999999909
4,5,-1168.549999999992
5,6,-1453.2999999999902
6,7,-680.3499999999858
7,8,-451.19999999999163
8,9,-72.0
9,10,-26.19999999999709
10,11,3.000000000003638
11,12,0.7000000000025466
12,13,2.0500000000010914
13,14,-102.35000000000036
14,15,-45.600000000000364
15,16,-47.899999999999636
16,17,-33.50000000000182
17,18,-93.600000000004
18,19,-60.50000000000364
19,20,-59.80000000000473
20,21,-7.000000000003638
21,22,-662.1499999999905
22,23,-136.09999999999673
23,24,-672.2499999999964
24,25,-30.350000000004002
25,26,-34.750000000010914
26,27,-43.000000000010914
27,28,-10.650000000005093
28,29,-261.4000000000069
29,30,-1.750000000001819
30,31,-6.899999999999636
31,32,-9.799999999999272
32,33,16.049999999997453
33,34,40.64999999999418
34,35,70.59999999999673
35,36,75.04999999999927
36,37,122.44999999999891
37,38,122.44999999999891
