Epochs,IndiaBulls Profit
1,12.15
2,12.15
3,12.15
4,10.65
5,10.65
6,10.65
7,10.65
8,10.65
9,10.65
10,19.85
11,19.85
12,19.85
13,19.85
14,19.85
15,19.85
16,49.5
17,49.5
18,49.5
19,49.5
20,49.5
21,49.5
22,49.5
23,49.5
24,49.5
25,49.5
26,49.5
27,49.5
28,49.5
29,49.5
30,49.5
31,49.5
32,49.5
33,49.5
34,77.8
35,77.8
36,77.8
37,77.8
38,77.8
39,77.8
40,77.8
41,77.8
42,77.8
43,77.8
44,77.8
45,77.8
46,77.8
47,77.8
48,77.8
49,77.8
50,77.8
51,82.9
52,243.15
53,243.15
