,Epochs,IndiaBulls Profit
0,1,-492.9000000000051
1,2,-492.9000000000051
2,3,-492.9000000000051
3,4,-492.9000000000051
4,5,-492.9000000000051
5,6,-492.9000000000051
6,7,-492.9000000000051
7,8,-492.9000000000051
8,9,-127.00000000000364
9,10,-127.00000000000364
10,11,-159.95000000000437
11,12,-159.95000000000437
12,13,-159.95000000000437
13,14,-159.95000000000437
14,15,-159.95000000000437
15,16,-159.95000000000437
16,17,-202.100000000004
17,18,-202.100000000004
18,19,-202.100000000004
19,20,-202.100000000004
20,21,-202.100000000004
21,22,-202.100000000004
22,23,-202.100000000004
23,24,-202.100000000004
24,25,-202.100000000004
25,26,-202.100000000004
26,27,-202.100000000004
27,28,-202.100000000004
28,29,-202.100000000004
29,30,-202.100000000004
30,31,-202.100000000004
31,32,-202.100000000004
32,33,-202.100000000004
33,34,-202.100000000004
34,35,-202.100000000004
35,36,-202.100000000004
36,37,-228.45000000000437
37,38,-228.45000000000437
38,39,-228.45000000000437
39,40,-228.45000000000437
40,41,-228.45000000000437
41,42,-228.45000000000437
42,43,-228.45000000000437
43,44,-228.45000000000437
44,45,-228.45000000000437
45,46,-228.45000000000437
46,47,-228.45000000000437
47,48,-228.45000000000437
48,49,-228.45000000000437
49,50,-228.45000000000437
50,51,-228.45000000000437
51,52,-228.45000000000437
52,53,-228.45000000000437
53,54,-228.45000000000437
54,55,-228.45000000000437
55,56,-228.45000000000437
56,57,-228.45000000000437
57,58,-228.45000000000437
58,59,-228.45000000000437
59,60,-235.45000000000437
60,61,-235.45000000000437
61,62,-235.45000000000437
62,63,-235.45000000000437
63,64,-235.45000000000437
64,65,-235.45000000000437
65,66,-235.45000000000437
66,67,-297.20000000000437
67,68,-235.45000000000437
68,69,-235.45000000000437
69,70,-235.45000000000437
70,71,-235.45000000000437
71,72,-235.45000000000437
72,73,-235.45000000000437
73,74,-235.45000000000437
74,75,-235.45000000000437
75,76,-235.45000000000437
76,77,-235.45000000000437
77,78,-235.45000000000437
78,79,-235.45000000000437
79,80,-235.45000000000437
80,81,-235.45000000000437
81,82,-235.45000000000437
82,83,-297.20000000000437
83,84,-297.20000000000437
84,85,-297.20000000000437
85,86,-354.0500000000029
86,87,-354.0500000000029
87,88,-354.0500000000029
88,89,-354.0500000000029
89,90,-354.0500000000029
90,91,-354.0500000000029
91,92,-354.0500000000029
92,93,-354.0500000000029
93,94,-354.0500000000029
94,95,-354.0500000000029
95,96,-354.0500000000029
96,97,-354.0500000000029
97,98,-354.0500000000029
98,99,-354.0500000000029
99,100,-354.0500000000029
100,101,-354.0500000000029
101,102,-354.0500000000029
102,103,-354.0500000000029
103,104,-354.0500000000029
104,105,-354.0500000000029
105,106,-354.0500000000029
106,107,-354.0500000000029
107,108,-354.0500000000029
108,109,-354.0500000000029
109,110,-351.7500000000018
110,111,-385.3000000000011
111,112,-385.3000000000011
112,113,-387.6000000000022
113,114,-385.3000000000011
114,115,-385.3000000000011
115,116,-385.3000000000011
116,117,-385.3000000000011
117,118,-445.10000000000036
118,119,-445.10000000000036
119,120,-445.10000000000036
120,121,-445.10000000000036
121,122,-445.10000000000036
122,123,-445.10000000000036
123,124,-445.10000000000036
124,125,-447.40000000000146
125,126,-445.10000000000036
126,127,-445.10000000000036
127,128,-445.10000000000036
128,129,-445.10000000000036
129,130,-445.10000000000036
130,131,-445.10000000000036
131,132,-481.3000000000029
132,133,-481.3000000000029
133,134,-481.3000000000029
134,135,-481.3000000000029
135,136,-481.3000000000029
136,137,-481.3000000000029
137,138,-481.3000000000029
138,139,-481.3000000000029
139,140,-481.3000000000029
140,141,-481.3000000000029
141,142,-481.3000000000029
142,143,-481.3000000000029
143,144,-481.3000000000029
144,145,-492.7500000000018
145,146,-492.7500000000018
146,147,-481.3000000000029
147,148,-481.3000000000029
148,149,-481.3000000000029
149,150,-481.3000000000029
150,151,-481.3000000000029
151,152,-481.3000000000029
152,153,-492.7500000000018
153,154,-492.7500000000018
154,155,-492.7500000000018
155,156,-492.7500000000018
156,157,-492.7500000000018
157,158,-492.7500000000018
158,159,-492.7500000000018
159,160,-492.7500000000018
160,161,-492.7500000000018
161,162,-492.7500000000018
162,163,-492.7500000000018
163,164,-492.7500000000018
164,165,-492.7500000000018
165,166,-492.7500000000018
166,167,-492.7500000000018
167,168,-492.7500000000018
168,169,-492.7500000000018
169,170,-492.7500000000018
170,171,-492.7500000000018
171,172,-492.7500000000018
172,173,-492.7500000000018
173,174,-492.7500000000018
174,175,-492.7500000000018
175,176,-492.7500000000018
176,177,-492.7500000000018
177,178,-492.7500000000018
178,179,-492.7500000000018
179,180,-492.7500000000018
180,181,-492.7500000000018
181,182,-492.7500000000018
182,183,-492.7500000000018
183,184,-492.7500000000018
184,185,-492.7500000000018
185,186,-492.7500000000018
186,187,-492.7500000000018
187,188,-492.7500000000018
188,189,-492.7500000000018
189,190,-492.7500000000018
190,191,-492.7500000000018
191,192,-492.7500000000018
192,193,-492.7500000000018
193,194,-492.7500000000018
194,195,-492.7500000000018
195,196,-492.7500000000018
196,197,-492.7500000000018
197,198,-492.7500000000018
198,199,-492.7500000000018
199,200,-458.85000000000036
