,Epochs,SunPharma Profit
0,1,-52.2
1,2,-115.35
2,3,-136.45
3,4,-136.45
4,5,-132.05
5,6,-132.05
6,7,-118.6
7,8,-123
8,9,-109.4
9,10,-109.4
10,11,-109.4
11,12,-109.4
12,13,-105
13,14,-105
14,15,-120.65
15,16,-120.65
16,17,-123.5
17,18,-123.5
18,19,-123.5
19,20,-177.05
20,21,-181.45
21,22,-164.55
22,23,-164.55
23,24,-184.75
24,25,-184.75
25,26,-184.75
26,27,-176.9
27,28,-190.5
28,29,-148.8
29,30,-148.8
30,31,-148.8
31,32,-148.8
32,33,-148.75
33,34,-148.75
34,35,-148.75
35,36,-148.75
36,37,-148.75
37,38,-136.7
38,39,-121.1
39,40,-121.1
40,41,-121.1
41,42,-63.4
42,43,-39.25
43,44,-51.2
44,45,-51.2
45,46,-51.2
46,47,-58.25
47,48,-53.85
48,49,-53.85
49,50,-53.85
50,51,-53.85
51,52,-53.85
52,53,-53.85
53,54,-53.85
54,55,-53.85
55,56,-53.85
56,57,-46.25
57,58,-46.25
58,59,-46.25
59,60,-46.25
60,61,-46.25
61,62,-46.25
62,63,-46.25
63,64,-46.25
64,65,-43.55
65,66,-43.55
66,67,-43.55
67,68,-43.55
68,69,-43.55
69,70,-43.55
70,71,-43.55
71,72,-43.55
72,73,-43.55
73,74,-43.55
74,75,-43.55
75,76,-52.4
76,77,-52.4
77,78,-34.25
78,79,-34.25
79,80,-34.25
80,81,-34.25
81,82,-34.25
82,83,-34.25
83,84,-34.25
84,85,-34.25
85,86,-34.25
86,87,-34.25
87,88,-27.45
88,89,-27.45
89,90,-27.45
90,91,-27.45
91,92,-27.45
92,93,-27.45
93,94,-51.6
94,95,-51.6
95,96,-51.6
96,97,-51.6
97,98,-51.6
98,99,-51.6
99,100,-51.6
100,101,35.5
101,102,35.5
102,103,35.5
103,104,70.45
104,105,131.45
105,106,131.45
